X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.601353,0.18969,0.262906,0.121549,0.335174,0.212689,0,0,1,0
0.651173,0.0242205,0.00645623,0.130652,0.331703,0.207585,0,0,1,0
0.157383,0.122347,0.870363,0.158327,0.342626,0.236988,0,0,1,0
0.539027,0.0364297,0.87754,0.160399,0.260932,0.197669,0,0,1,0
0.820687,0.875197,0.367458,0.166349,0.352415,0.234297,0,0,1,0
0.703563,0.361467,0.214394,0.167654,0.323928,0.20548,0,0,1,0
0.412447,0.841522,0.854283,0.168969,0.348093,0.232322,0,0,1,0
0.00745795,0.299526,0.517687,0.169007,0.314521,0.236345,0,0,1,0
0.568933,0.995371,0.312242,0.169281,0.287531,0.205156,0,0,1,0
0.148146,0.654277,0.148022,0.171074,0.31833,0.238647,0,0,1,0
0.517129,0.887649,0.999645,0.17151,0.267136,0.208099,0,0,0.99,0
0.434497,0.234344,0.936904,0.17361,0.320779,0.238663,0,0,1,0
0.656684,0.0551614,0.312946,0.181344,0.275379,0.192757,0,0,0.99,0
0.475196,0.0604497,0.918424,0.181415,0.239915,0.19391,0,0,1,0
0.913803,0.321509,0.222892,0.1815,0.350237,0.24366,0,0,0.99,0
0.565381,0.829051,0.79233,0.182616,0.334446,0.228677,0,0,1,0
0.017503,0.863004,0.741951,0.182951,0.234168,0.206428,0,0,1,0
0.121175,0.010545,0.308559,0.183506,0.286464,0.22961,0,0,1,0
0.891111,0.0129927,0.433588,0.184128,0.319452,0.228371,0,0,1,0
0.955133,0.192877,0.353345,0.185927,0.303224,0.239296,0,0,1,0
0.0298876,0.564475,0.282787,0.186738,0.343641,0.243137,0,0,0.99,0
0.515289,0.993529,0.507423,0.187275,0.275513,0.227383,0,0,1,0
0.950051,0.256905,0.919858,0.189443,0.296202,0.226275,0,0,1,0
0.788819,0.762391,0.236912,0.19081,0.338038,0.232986,0,0,0.99,0
0.0996677,0.230049,0.335824,0.190922,0.237752,0.209382,0,0,1,0
0.744955,0.662878,0.715616,0.191473,0.353322,0.248985,0,0,0.99,0
0.789392,0.251999,0.898585,0.191523,0.291385,0.226599,0,0,1,0
0.723984,0.331156,0.341339,0.191827,0.260046,0.212637,0,0,1,0
0.480278,0.603053,0.89736,0.192572,0.272158,0.229148,0,0,1,0
